ID_UEV	TYPE	NOM	ARRONDISSE	ADRESSE	PROPRIETE	GESTION	POINT_X	POINT_Y	EQUIPEME	LONG	LAT
3116265	Piscine intérieure	Sophie-Barat	Ahuntsic–Cartierville	10 851, Rue Saint-Charles, H2C 3H7	Municipale	Municipale	291703,7809	5046899,148	Piscine compétitive	-73.667771	45.561879
3114253	Piscine intérieure	ETE	Ahuntsic–Cartierville	1 000, Avenue Émile-Journealt Est	Municipale	Municipale	294151,2717	5045855,457	Complexe aquatique	-73.63639	45.552526
3021351	Piscine extérieure	Marcelin-Wilson	Ahuntsic–Cartierville	1 655, Rue Dudemaine, H3M 1R2	Municipale	Municipale	290413,3232	5044137,201		-73.684215	45.537
3023745	Piscine extérieure	Gabriel-Lalemant	Ahuntsic–Cartierville	2 350, Rue Sauvé Est, H2B 1B2	Municipale	Municipale	293681,7773	5047876,482		-73.642456	45.570705
5018645	Piscine extérieure	Parc Lucie-Bruneau	Anjou	7 051, Avenue de l’Alsace	Municipale	Privé	298272,3381	5051460,248		-73.583684	45.603013
2164916	Piscine extérieure	Parc Chénier	Anjou	5 555, Avenue de l’Aréna	Municipale	Privé	301422,701	5051453,457		-73.543303	45.602972
5068257	Piscine extérieure	Parc des Roseraies	Anjou	7 070, Avenue de la Nantaise	Municipale	Privé	300500,6874	5050386,914		-73.555113	45.593366
5010387	Piscine extérieure	Parc Roger-Rousseau	Anjou	7 501, Avenue Rondeau	Municipale	Privé	300901,7124	5052992,126		-73.549995	45.616818
2031382	Piscine extérieure	Parc Verdelle	Anjou	8 441, Place Verdelles	Municipale	Privé	300932,7921	5052058,066		-73.54959	45.608413
5075187	Pataugeoire	Parc Talcy	Anjou	8 151, Avenue Talcy	Municipale	Privé	300118,683	5051922,993		-73.560024	45.607185
2031382	Pataugeoire	Parc Verdelle	Anjou	8 441, Place Verdelles	Municipale	Privé	300932,7921	5052058,066		-73.54959	45.608413
5018645	Pataugeoire	Parc Lucie-Bruneau	Anjou	7 051, Avenue de l’Alsace	Municipale	Privé	298272,3381	5051460,248		-73.583684	45.603013
5031157	Pataugeoire	Parc André-Laurendeau	Anjou	8 361, Avenue André-Laurendeau	Municipale	Privé	299359,252	5051600,462		-73.569751	45.604282
2164916	Pataugeoire	Parc Chénier	Anjou	5 555, Avenue de l’Aréna	Municipale	Privé	301422,701	5051453,457		-73.543303	45.602972
2036764	Pataugeoire	Parc Bocage	Anjou	6 200, Avenue du Bocage	Municipale	Privé	300755,4698	5050299,696		-73.551844	45.592584
5010387	Pataugeoire	Parc Roger-Rousseau	Anjou	7 501, Avenue Rondeau	Municipale	Privé	300901,7124	5052992,126		-73.549995	45.616818
2036764	Jeu d'eau	Parc Bocage	Anjou	6 200, Avenue du Bocage	Municipale	Privé	300755,4698	5050299,696		-73.551844	45.592584
5075187	Jeu d'eau	Parc Talcy	Anjou	8 151, Avenue Talcy	Municipale	Privé	300118,683	5051922,993		-73.560024	45.607185
2032190	Jeu d'eau	Parc Peterborough	Anjou	8 400,Boulevard Châteauneuf	Municipale	Privé	300466,8693	5052322,791		-73.555566	45.610786
5010387	Jeu d'eau	Parc Roger Rousseau	Anjou	7 501, Avenue Rondeau	Municipale	Privé	300901,7124	5052992,126		-73.549995	45.616818
3065293	Piscine intérieure	Centre communautaire Notre-Dame-de-Grâce	Côte-des-Neiges–Notre-Dame-de-Grâce	5 311, Chemin de la Côte-Saint-Antoine	Municipale	Municipale	295898,1254	5037368,988	Piscine récréative	-73.613861	45.476181
5005023	Piscine intérieure	Centre sportif Côte-des-Neiges	Côte-des-Neiges–Notre-Dame-de-Grâce	4 880, Avenue Van Horne	Municipale	OBNL	294009,0706	5039206,095	Complexe aquatique	-73.638062	45.492694
3065833	Piscine intérieure	Centre sportif de Notre-Dame-de-Grâce	Côte-des-Neiges–Notre-Dame-de-Grâce	6 445, Avenue Monkland	Municipale	Privé	294423,0373	5036292,024	Piscine compétitive	-73.632704	45.466479
3006474	Piscine extérieure	Parc de Kent	Côte-des-Neiges–Notre-Dame-de-Grâce	6 262, Chemin Hudson	Municipale	Municipale	294480,4208	5040457,946		-73.632063	45.503958
3066686	Piscine extérieure	Parc de la Confédération	Côte-des-Neiges–Notre-Dame-de-Grâce	6 265, Avenue Biermans	Municipale	Municipale	293982,2718	5036902,453		-73.638357	45.471961
3074458	Pataugeoire	Parc Jean-Brillant	Côte-des-Neiges–Notre-Dame-de-Grâce	5 252, Avenue Decelles	Municipale	Municipale	295437,9104	5039676,14		-73.619801	45.496944
3006474	Pataugeoire	Parc de Kent	Côte-des-Neiges–Notre-Dame-de-Grâce	3 533, Avenue de Kent	Municipale	Municipale	294480,4208	5040457,946		-73.632063	45.503958
3007015	Pataugeoire	Parc Van Horne	Côte-des-Neiges–Notre-Dame-de-Grâce	4 900, Avenue Van Horne	Municipale	Municipale	293956,4134	5039088,994		-73.638738	45.491631
3064845	Pataugeoire	Parc Trenholme	Côte-des-Neiges–Notre-Dame-de-Grâce	6 800, Rue Sherbrooke Ouest	Municipale	Municipale	294507,4011	5035648,762		-73.631616	45.460685
3033630	Pataugeoire	Parc McDonald	Côte-des-Neiges–Notre-Dame-de-Grâce	5 355, Avenue Clanranald	Municipale	Municipale	294163,3637	5038216,469		-73.636071	45.483788
3033394	Pataugeoire	Parc Rosemary-Brown	Côte-des-Neiges–Notre-Dame-de-Grâce	6 665, Avenue McLynn	Municipale	Municipale	293228,1198	5038899,095		-73.648047	45.489919
3066686	Pataugeoire	Parc de la Confédération	Côte-des-Neiges–Notre-Dame-de-Grâce	Avenue Biemans	Municipale	Municipale	293982,2718	5036902,453		-73.638357	45.471961
3064583	Pataugeoire	Parc Georges-Saint-Pierre	Côte-des-Neiges–Notre-Dame-de-Grâce	999, Avenue d’Oxford	Municipale	Municipale	296381,6749	5036531,357		-73.607669	45.468656
3066567	Pataugeoire	Parc Loyola	Côte-des-Neiges–Notre-Dame-de-Grâce	7 069, Avenue Somerland	Municipale	Municipale	293385,1183	5035738,34		-73.645965	45.461477
3040406	Jeu d'eau	Parc de la Savanne	Côte-des-Neiges–Notre-Dame-de-Grâce	5 111, Rue Paré	Municipale	Municipale	292702,3142	5039879,71		-73.654801	45.498728
3006474	Jeu d'eau	Parc de Kent	Côte-des-Neiges–Notre-Dame-de-Grâce	3 533, Avenue de Kent	Municipale	Municipale	294480,4208	5040457,946		-73.632063	45.503958
3039080	Jeu d'eau	Parc Notre-Dame-de-Grâce	Côte-des-Neiges–Notre-Dame-de-Grâce	Avenue Marcil	Municipale	Municipale	295866,3776	5036993,461		-73.614263	45.472807
3074458	Jeu d'eau	Parc Jean-Brillant	Côte-des-Neiges–Notre-Dame-de-Grâce	5 252, Avenue Decelles	Municipale	Municipale	295437,9104	5039676,14		-73.619801	45.496944
3073051	Jeu d'eau	Parc Mackenzie-King	Côte-des-Neiges–Notre-Dame-de-Grâce	4 905, Avenue Saint-Kevin	Municipale	Municipale	294352,7698	5038897,595		-73.633667	45.489919
3066686	Jeu d'eau	Parc de la Confédération	Côte-des-Neiges–Notre-Dame-de-Grâce	Avenue Biemans	Municipale	Municipale	293982,2718	5036902,453		-73.638357	45.471961
3042233	Jeu d'eau	Parc Nelson Mandela	Côte-des-Neiges–Notre-Dame-de-Grâce	4920, Rue Vézina	Municipale	Municipale	293549,2598	5039448,798		-73.643953	45.494864
3065833	Jeu d'eau	Parc Benny	Côte-des-Neiges–Notre-Dame-de-Grâce	6445, avenue Monkland	Municipale	Municipale	294423,0373	5036292,024		-73.632704	45.466479
4084462	Piscine extérieure	Parc Robert-Sauvé	L'Île-Bizard–Sainte-Geneviève	15 734, Rue de la Caserne, Sainte-Geneviève	Municipale	Municipale	276130,5669	5037974,506		-73.866735	45.481102
4053724	Piscine extérieure	Parc Eugène-D’Ostie	L'Île-Bizard–Sainte-Geneviève	488, Montée de l’Église, L'Île-Bizard	Municipale	Municipale	274821,8474	5038563,963		-73.883515	45.486348
4084462	Pataugeoire	Parc Robert-Sauvé	L'Île-Bizard–Sainte-Geneviève	15 734, Rue de la Caserne, Sainte-Geneviève	Municipale	Municipale	276130,5669	5037974,506		-73.866735	45.481102
4053724	Pataugeoire	Parc Eugène-D’Ostie	L'Île-Bizard–Sainte-Geneviève	488, Montée de l’Église, L'Île-Bizard	Municipale	Municipale	274821,8474	5038563,963		-73.883515	45.486348
5060035	Piscine extérieure	Parc Lasalle	Lachine	475, 10e Avenue	Municipale	Municipale	291104,1199	5033162,161		-73.675061	45.438256
5054431	Piscine extérieure	Parc Kirkland	Lachine	150, Rue des Érables	Municipale	Municipale	293083,0154	5034007,493		-73.649786	45.445896
5056523	Piscine extérieure	Parc Duff-Court	Lachine	1 830, Croissant Roy	Municipale	Municipale	290670,4398	5034129,795		-73.680636	45.446949
5088238	Piscine extérieure	Parc Dixie	Lachine	695, 54e Avenue	Municipale	OBNL	287744,8847	5033783,241		-73.718029	45.44377
5061272	Piscine extérieure	Port de Plaisance	Lachine	1 800, Chemin des Iroquois	Municipale	OBNL	290986,3256	5032227,781		-73.676543	45.42984
5060035	Pataugeoire	Parc Lasalle 1	Lachine	1 950, Remembrance	Municipale	Municipale	291104,1199	5033162,161		-73.675061	45.438256
5060035	Pataugeoire	Parc Lasalle 2	Lachine	1 950, Remembrance	Municipale	Municipale	291104,1199	5033162,161		-73.675061	45.438256
5056523	Pataugeoire	Parc Duff-Court	Lachine	1 830, Croissant Roy	Municipale	Municipale	290670,4398	5034129,795		-73.680636	45.446949
5052735	Pataugeoire	Parc Carignan	Lachine	4 100, Rue Provost	Municipale	Municipale	288993,9524	5033747,338		-73.702062	45.443476
5054431	Jeu d'eau	Parc Kirkland	Lachine	150, Rue des Érables	Municipale	Municipale	293083,0154	5034007,493		-73.649786	45.445896
4156343	Piscine intérieure	L’Aquadôme LaSalle	LaSalle	1 411, Rue Lapierre	Municipale	Privé	296335,6987	5032962,552	Complexe aquatique	-73.608196	45.43654
4127635	Piscine extérieure	Parc Haymard	LaSalle	170, Avenue Orchard	Municipale	Privé	293208,1671	5031500,121		-73.648129	45.423339
4033627	Piscine extérieure	Parc Lefebvre	LaSalle	8 600, Rue Hardy	Municipale	Privé	294205,3476	5032846,791		-73.635418	45.435467
4048051	Piscine extérieure	Parc Leroux	LaSalle	7 540, Rue Centrale	Municipale	Privé	297331,444	5032712,678		-73.595461	45.434301
4045983	Piscine extérieure	Parc Raymond	LaSalle	555, Boulevard Bishop-Power	Municipale	Privé	296731,981	5032023,632		-73.603119	45.428095
4039115	Piscine extérieure	Parc Ouellette (natation et récréatif)	LaSalle	1 407, Rue Serre	Municipale	Privé	295254,0967	5032569,894		-73.622005	45.432989
4143045	Piscine extérieure	Parc Ménard	LaSalle	300, Rue Clément	Municipale	Privé	292815,8028	5032646,392		-73.653179	45.433645
4049099	Piscine extérieure	Parc Lacharité	LaSalle	55, Avenue Latour	Municipale	Privé	295203,7654	5030924,055		-73.622624	45.418186
4046808	Piscine extérieure	Parc Riverside	LaSalle	625, 35e Avenue	Municipale	Privé	295940,2001	5031131,875		-73.613211	45.420058
4143045	Jeu d'eau	Parc Ménard	LaSalle	Rue Bergevin	Municipale	Privé	292815,8028	5032646,392		-73.653179	45.433645
4024539	Jeu d'eau	Parc Dalmany	LaSalle	9 650, Rue Dalmany	Municipale	Privé	292358,483	5032163,485		-73.659007	45.42929
4127635	Jeu d'eau	Parc Hayward	LaSalle	170, Avenue Orchard	Municipale	Privé	293208,1671	5031500,121		-73.648129	45.423339
4033627	Jeu d'eau	Parc Lefebvre	LaSalle	8 600, Rue Hardy	Municipale	Privé	294205,3476	5032846,791		-73.635418	45.435467
4047994	Jeu d'eau	Parc Riverside	LaSalle	625, 35e Avenue	Municipale	Privé	296057,9861	5031171,949		-73.611717	45.42042
4048051	Jeu d'eau	Parc Leroux	LaSalle	7 540, Rue Centrale	Municipale	Privé	297331,444	5032712,678		-73.595461	45.434301
4034363	Jeu d'eau	Parc Lawrence	LaSalle	Rue Beyries	Municipale	Privé	294879,0621	5030918,425		-73.626764	45.418127
4037363	Jeu d'eau	Parc Boivin	LaSalle	Rue de Matane	Municipale	Privé	294351,4089	5031023,475		-73.633513	45.419065
4042795	Jeu d'eau	Parc J.D. Ducharme	LaSalle	Rue Daoust	Municipale	Privé	295124,6393	5032004,81		-73.623655	45.427903
4038155	Jeu d'eau	Parc J.O.R.-Leduc	LaSalle	Rue Paquette	Municipale	Privé	294415,6633	5032014,401		-73.632716	45.427983
4039115	Jeu d'eau	Parc Ouelette	LaSalle	1407, Rue Serre	Municipale	Privé	295254,0967	5032569,894		-73.622005	45.432989
4027481	Jeu d'eau	Parc Jeannotte	LaSalle	Angle des rues Clément et Trudeau	Municipale	Privé	293881,1969	5032504,888		-73.639551	45.432384
4123964	Jeu d'eau	Parc Père-Marquette	LaSalle	Angle des rues Bouvier et Louis-Joliet	Municipale	Privé	295769,5011	5032318,57		-73.615418	45.430737
1017231	Piscine intérieure	Bain Lévesque	Le Plateau Mont-Royal	955, Rue Marie-Anne Est	Municipale	Municipale	298715,0666	5042928,684	Piscine récréative	-73.577899	45.526243
1041817	Piscine intérieure	Bain Schubert	Le Plateau Mont-Royal	3 950, Boulevard Saint-Laurent	Municipale	Municipale	298644,329	5041840,169	Piscine récréative	-73.578794	45.516452
1034674	Piscine intérieure	Centre du Plateau	Le Plateau Mont-Royal	2 275, Boulevard St-Joseph	Municipale	Municipale	298926,669	5044373,814	Piscine récréative	-73.575215	45.539247
1028133	Piscine extérieure	Parc Sir Wilfrid-Laurier	Le Plateau Mont-Royal	5 200, Rue De Brébeuf	Municipale	Municipale	297940,1453	5043583,508		-73.58783	45.53213
1026261	Piscine extérieure	Parc Baldwin	Le Plateau Mont-Royal	2 330, Rue Rachel Est	Municipale	Municipale	299849,2929	5043868,315		-73.563391	45.53471
1028133	Pataugeoire	Parc Sir Wilfrid-Laurier	Le Plateau Mont-Royal	5 200, Rue De Brébeuf	Municipale	Municipale	297940,1453	5043583,508		-73.58783	45.53213
1003664	Pataugeoire	Parc Jeanne-Mance	Le Plateau Mont-Royal	4 167, Avenue de l’Esplanade	Municipale	Municipale	297684,1752	5040632,413		-73.591064	45.505573
1026261	Pataugeoire	Parc Baldwin	Le Plateau Mont-Royal	2 330, Rue Rachel Est	Municipale	Municipale	299849,2929	5043868,315		-73.563391	45.53471
1027502	Pataugeoire	Parc La Fontaine ouest	Le Plateau Mont-Royal	1 450, Rue Rachel Est	Municipale	Municipale	299382,7103	5042884,97		-73.56936	45.525852
1027502	Pataugeoire	Parc La Fontaine est	Le Plateau Mont-Royal	2 450, Rue Rachel Est	Municipale	Municipale	299382,7103	5042884,97		-73.56936	45.525852
1026261	Jeu d'eau	Parc Baldwin	Le Plateau Mont-Royal	2 330, rue Rachel Est	Municipale	Municipale	299849,2929	5043868,315		-73.563391	45.53471
1031761	Jeu d'eau	Parc Alphonse-Télesphore-Lépine	Le Plateau Mont-Royal	Avenue De Gaspé	Municipale	Municipale	297567,4615	5042885,79		-73.592595	45.525845
5073473	Jeu d'eau	Parc Clark	Le Plateau Mont-Royal	Rue Clark	Municipale	Municipale	296612,4463	5043057,287		-73.604823	45.527382
1001870	Jeu d'eau	Parc Gilles-Lefebvre	Le Plateau Mont-Royal	Rue Drolet	Municipale	Municipale	298225,4216	5042609,564		-73.584168	45.523368
5091157	Jeu d'eau	Parc Saint-Michel	Le Plateau Mont-Royal	Avenue Laurier Est et rue Saint-Dominique	Municipale	Municipale	297543,4176	5042694,682		-73.592899	45.524126
5007586	Piscine intérieure	Complexe sportif Gadbois	Le Sud-Ouest	5 485, Chemin De la Côte-Saint-Paul	Municipale	Municipale	297313,4215	5036328,297	Piscine compétitive	-73.595746	45.46684
1020721	Piscine intérieure	Centre sportif St-Charles	Le Sud-Ouest	1 055, Rue Hibernia	Municipale	Municipale	299867,9341	5037766,346	Piscine récréative	-73.563099	45.479802
5088615	Piscine intérieure	Bain Émard	Le Sud-Ouest	6 071, Rue Laurendeau	Municipale	Municipale	297803,5283	5035323,57	Piscine récréative	-73.589466	45.457801
1123220	Piscine intérieure	Piscine intérieure Saint-Henri	Le Sud-Ouest	4 055, Rue St-Jacques	Municipale	Municipale	297967,0348	5037586,499	Piscine compétitive	-73.5874	45.478166
5006029	Piscine intérieure	Centre sportif Petite-Bourgogne	Le Sud-Ouest	1 825, Rue Notre-Dame Ouest	Municipale	OBNL	299389,6801	5038717,468	Piscine récréative	-73.569224	45.488356
1046323	Piscine extérieure	Parc Sir George-Étienne-Cartier	Le Sud-Ouest	4 550, Rue Sainte-Émilie	Municipale	Municipale	298045,6165	5037056,587		-73.586395	45.473398
1129831	Piscine extérieure	Parc Ignace-Bourget	Le Sud-Ouest	5 925, Avenue De Montmagny	Municipale	Municipale	296402,7493	5035017,941		-73.607374	45.455032
1013876	Pataugeoire	Parc curé Albert-Arnold	Le Sud-Ouest	6 855, Rue Hamilton	Municipale	Municipale	297320,3666	5034424,653		-73.595628	45.449707
5033990	Pataugeoire	Parc Le Ber	Le Sud-Ouest	470, Rue Fortune	Municipale	Municipale	300569,5609	5037485,349		-73.554118	45.477278
1020818	Pataugeoire	Parc Saint-Gabriel	Le Sud-Ouest	2 355, Rue Mullins	Municipale	Municipale	299758,9738	5037666,336		-73.564493	45.478901
1048440	Pataugeoire	Parc Vinet	Le Sud-Ouest	550, Rue Vinet	Municipale	Municipale	298878,1523	5038234,701		-73.575756	45.484006
5096175	Pataugeoire	Parc Campbell-Centre	Le Sud-Ouest	810, Rue Chatham	Municipale	Municipale	299000,1862	5038804,066		-73.574202	45.489136
1008171	Pataugeoire	Parc Campbell-Ouest	Le Sud-Ouest	1 990, Rue de Maricourt	Municipale	Municipale	297630,3466	5035340,982		-73.591678	45.457952
1129831	Pataugeoire	Parc Ignace-Bourget	Le Sud-Ouest	Avenue de Montmagny	Municipale	Municipale	296402,7493	5035017,941		-73.607374	45.455032
1035819	Jeu d'eau	Parc Louis-Cyr	Le Sud-Ouest	205, Rue Saint-Ferdinand	Municipale	Municipale	298387,8063	5037338,695		-73.582025	45.475939
2054519	Piscine intérieure	Édouard-Montpetit	Mercier–Hochelaga-Maisonneuve	6 100, Avenue Pierre-de-Coubertin	Municipale	Municipale	301882,2974	5048409,183	Piscine compétitive	-73.537388	45.575583
2063743	Piscine intérieure	Hochelaga	Mercier–Hochelaga-Maisonneuve	1 870, Rue Davidson	Municipale	Municipale	301319,5393	5044694,075	Piscine compétitive	-73.544576	45.542152
2065901	Piscine intérieure	Bain Morgan	Mercier–Hochelaga-Maisonneuve	1 875, Avenue Morgan	Municipale	Municipale	301810,6112	5045950,116	Piscine récréative	-73.538296	45.553456
5089500	Piscine extérieure	Maisonneuve	Mercier–Hochelaga-Maisonneuve	4 350, Rue de Rouen	Municipale	Privé	301520,9715	5046038,005		-73.542011	45.554247
2050446	Piscine extérieure	Parc L.-O.-Taillon	Mercier–Hochelaga-Maisonneuve	9 200, Rue Notre-Dame Est	Municipale	Municipale	303925,6699	5051785,999	"Rénovation majeure en 2011"""	-73.511217	45.605967
2051891	Pataugeoire	Parc de la Bruère	Mercier–Hochelaga-Maisonneuve	2 150, Rue Liébert	Municipale	Municipale	303352,2138	5050433,239		-73.518559	45.5938
5089500	Pataugeoire	Maisonneuve	Mercier–Hochelaga-Maisonneuve	4 350, Rue de Rouen	Municipale	Privé	301520,9715	5046038,005		-73.542011	45.554247
2055167	Pataugeoire	Parc Jean-Amyot	Mercier–Hochelaga-Maisonneuve	6 110, Rue de Marseille	Municipale	Municipale	301704,6533	5048454,028		-73.539669	45.575987
2055025	Pataugeoire	Parc Pierre-Bédard	Mercier–Hochelaga-Maisonneuve	5 855, Rue Turenne	Municipale	Municipale	300513,0846	5048665,368		-73.554932	45.57788
5032287	Pataugeoire	Parc Saint-Victor	Mercier–Hochelaga-Maisonneuve	9 175, Rue Hochelaga	Municipale	Municipale	303417,491	5051955,176		-73.517731	45.607496
5070879	Pataugeoire	Parc Raymond-Préfontaine	Mercier–Hochelaga-Maisonneuve	2 300, Rue Dézéry	Municipale	Municipale	300696,0489	5044650,821		-73.552553	45.541753
2024523	Pataugeoire	Parc Rougemont	Mercier–Hochelaga-Maisonneuve	1 900, Rue Bossuet	Municipale	Municipale	302644,7225	5047717,807		-73.527622	45.569359
2064425	Pataugeoire	Parc St-Aloysius	Mercier–Hochelaga-Maisonneuve	1 650, Avenue Valois	Municipale	Municipale	301628,1089	5045103,194		-73.540621	45.545834
2145363	Pataugeoire	Parc Pierre-Bernard	Mercier–Hochelaga-Maisonneuve	3 170, Boulevard Pierre-Bernard	Municipale	Municipale	302830,7633	5051697,441		-73.525255	45.605173
2020120	Pataugeoire	Parc St-Clément	Mercier–Hochelaga-Maisonneuve	1 855, Rue de Ville-Marie	Municipale	Municipale	302173,727	5046691,598		-73.533651	45.560125
2055878	Pataugeoire	Parc Saint-Donat	Mercier–Hochelaga-Maisonneuve	6 800, Rue de Marseille	Municipale	Municipale	301978,4233	5049185,918		-73.536163	45.582566
2064032	Jeu d'eau	Parc Jacques-Blanchet	Mercier–Hochelaga-Maisonneuve	Avenue Jeanne-d’Arc	Municipale	Municipale	301598,8934	5045446,757		-73.541008	45.54892
2071510	Jeu d'eau	Parc Morgan	Mercier–Hochelaga-Maisonneuve	4 370, Rue Sainte-Catherine Est	Municipale	Municipale	302221,9549	5045723,134		-73.533031	45.551415
5089063	Jeu d'eau	Parc Théodore	Mercier–Hochelaga-Maisonneuve	2 525, Rue Théodore	Municipale	Municipale	301366,8682	5046788,597		-73.543988	45.560995
2063743	Jeu d'eau	Parc Hochelaga	Mercier–Hochelaga-Maisonneuve	Angle Lafontaine et Davidson	Municipale	Municipale	301319,5393	5044694,075		-73.544576	45.542152
2051168	Jeu d'eau	Parc Beauclerk	Mercier–Hochelaga-Maisonneuve	1 855, Avenue Émile-Legrand	Municipale	Municipale	303213,3204	5049008,241		-73.520336	45.580978
2006464	Jeu d'eau	Parc Liébert	Mercier–Hochelaga-Maisonneuve	8 055, Avenue Pierre-de-Coubertin	Municipale	Municipale	302664,8484	5050703,095		-73.527379	45.596228
2076909	Piscine extérieure	Parc Charleroi	Montréal-Nord	10 975, Avenue Alfred	Municipale	Municipale	295260,6871	5051093,663		-73.622288	45.599675
2077664	Piscine extérieure	Parc Saint-Laurent	Montréal-Nord	11 614, Avenue Salk	Municipale	Municipale	294754,4465	5051730,244		-73.628788	45.6054
2068769	Piscine extérieure	Parc Ottawa	Montréal-Nord	10 341, Avenue Lausanne	Municipale	Municipale	293670,906	5049138,004		-73.642625	45.58206
2083978	Piscine extérieure	Parc Primeau	Montréal-Nord	4 209, Rue de Castille	Municipale	Municipale	294182,9617	5050367,533		-73.636091	45.593127
2076909	Pataugeoire	Parc Charleroi	Montréal-Nord	10 975, Avenue Alfred	Municipale	Municipale	295260,6871	5051093,663		-73.622288	45.599675
2080581	Pataugeoire	Parc Henri-Bourassa	Montréal-Nord	6 100, Rue Pascal	Municipale	Municipale	295254,9627	5052882,425		-73.6224	45.615773
2079610	Pataugeoire	Parc Lacordaire	Montréal-Nord	12 576, Boulevard Lacordaire	Municipale	Municipale	294499,0455	5052934,31		-73.632082	45.61623
2080320	Pataugeoire	Parc Le Carignan	Montréal-Nord	11 481, Rue P.M.-Favier	Municipale	Municipale	295783,9769	5052255,545		-73.615606	45.610138
2083497	Pataugeoire	Parc Ménard	Montréal-Nord	3 781, Place Ménard	Municipale	Municipale	293891,0207	5049690,967		-73.639806	45.587031
2081040	Pataugeoire	Parc Monty	Montréal-Nord	12 357, Avenue Monty	Municipale	Municipale	295458,2261	5053477,193		-73.619796	45.62113
2068113	Pataugeoire	Parc Oscar	Montréal-Nord	10 660, Boulevard Saint-Michel	Municipale	Municipale	293219,8302	5049150,275		-73.648405	45.582161
2068769	Pataugeoire	Parc Ottawa	Montréal-Nord	10 400, Avenue Belleville	Municipale	Municipale	293670,906	5049138,004		-73.642625	45.58206
2070945	Pataugeoire	Parc Pilon	Montréal-Nord	11 135, Avenue des Récollets	Municipale	Municipale	293702,5631	5050411,397		-73.642244	45.593515
2083978	Pataugeoire	Parc Primeau	Montréal-Nord	4 209, Rue de Castille	Municipale	Municipale	294182,9617	5050367,533		-73.636091	45.593127
2070718	Pataugeoire	Parc Sabrevois	Montréal-Nord	10 110, Avenue des Récollets	Municipale	Municipale	294408,9079	5049300,149		-73.633172	45.583529
2077664	Pataugeoire	Parc Saint-Laurent	Montréal-Nord	11 614, Avenue Salk	Municipale	Municipale	294754,4465	5051730,244		-73.628788	45.6054
2084556	Pataugeoire	Parc Sauvé	Montréal-Nord	4 701, Rue de Bayonne	Municipale	Municipale	294162,877	5051110,104		-73.636364	45.599812
2081039	Pataugeoire	Parc Tardif	Montréal-Nord	6 455, Rue Tardif	Municipale	Municipale	295685,9704	5053165,013		-73.616879	45.618325
2068769	Jeu d'eau	Parc Ottawa	Montréal-Nord	10 400, Avenue Belleville	Municipale	Municipale	293670,906	5049138,004		-73.642625	45.58206
3036307	Piscine extérieure	Parc John-F-Kennedy	Outremont	860, Avenue Outremont	Municipale	Privé	295743,057	5042393,953		-73.615936	45.521396
3036307	Pataugeoire	Parc John-F.-Kennedy	Outremont	860, Avenue Outremont	Municipale	Privé	295743,057	5042393,953		-73.615936	45.521396
5072848	Piscine intérieure	Centre aquatique Rivières-des-Prairies	Rivière-des-Prairies–Pointe-aux-Trembles	12 515, Boulevard Rodolphe-Forget	Municipale	Municipale	298578,6641	5056952,178	Complexe aquatique	-73.579832	45.652434
